count,word,rank,cumulative_fraction
48226,ach,242,0.6595
48201,mädchen,243,0.66
47864,davon,244,0.6606
47821,sieht,245,0.6611
47758,ihren,246,0.6616
47629,recht,247,0.6621
46366,dafür,248,0.6626
46246,wegen,249,0.663
46066,hause,250,0.6635
45955,hin,251,0.664
45435,warte,252,0.6645
45414,drei,253,0.665
45399,deinen,254,0.6655
44677,abend,255,0.6659
44650,freund,256,0.6664
44617,guten,257,0.6669
44539,sollen,258,0.6673
44449,sollten,259,0.6678
44446,haus,260,0.6683
44405,menschen,261,0.6687
44288,viele,262,0.6692
43700,bleiben,263,0.6697
43656,machst,264,0.6701
43625,musik,265,0.6706
43571,unser,266,0.6711
43498,angst,267,0.6715
42927,schnell,268,0.672
42768,tot,269,0.6724
42718,welt,270,0.6729
42573,zusammen,271,0.6733
42426,habt,272,0.6738
42225,unter,273,0.6742
42002,scheiße,274,0.6747
41790,nehmen,275,0.6751
41647,eines,276,0.6755
41547,herr,277,0.676
41514,andere,278,0.6764
41252,getan,279,0.6769
41132,rein,280,0.6773
41071,bringen,281,0.6777
40821,ganze,282,0.6782
40600,essen,283,0.6786
40333,kinder,284,0.679
39944,glauben,285,0.6794
39653,genug,286,0.6798
39154,darf,287,0.6803
38692,junge,288,0.6807
38674,stimmt,289,0.6811
38499,brauchen,290,0.6815
38488,gegen,291,0.6819
38244,moment,292,0.6823
38239,erst,293,0.6827
38130,seid,294,0.6831
37707,einmal,295,0.6835
37532,sonst,296,0.6839
37152,niemand,297,0.6843
36985,arbeit,298,0.6847
36838,steht,299,0.6851
36827,warten,300,0.6855
36612,dabei,301,0.6858
36308,fragen,302,0.6862
36240,sofort,303,0.6866
36182,jahre,304,0.687
35953,halt,305,0.6874
35851,verdammt,306,0.6877
35539,ihrer,307,0.6881
35329,bevor,308,0.6885
34555,sohn,309,0.6889
34293,familie,310,0.6892
34272,heißt,311,0.6896
34257,jeder,312,0.6899
34019,sprechen,313,0.6903
33922,gefunden,314,0.6907
33886,sache,315,0.691
33643,problem,316,0.6914
